Strain,Stress
-0.000217295,0.399656164
-0.000216222,0.405593566
-0.000220355,0.41162331
-0.000217469,0.416826338
-0.000222817,0.421930572
-0.000226484,0.426571802
-0.000225339,0.430891894
-0.000231139,0.435302344
-0.000237116,0.43947069
-0.000239636,0.443477907
-0.000237715,0.447334992
-0.000240884,0.451055292
-0.000242154,0.45496829
-0.000241638,0.458270315
-0.000245488,0.461279219
-0.000246643,0.464247429
-0.00024981,0.467288997
-0.000250082,0.47009716
-0.000252081,0.472905301
-0.000252877,0.475486213
-0.000255933,0.477989312
-0.000256508,0.480414501
-0.00025875,0.482731077
-0.000260454,0.484802973
-0.000261991,0.486910651
-0.000266499,0.489200704
-0.000276682,0.500724177
-0.000280799,0.512466084
-0.00028529,0.52456871
-0.000288342,0.537731994
-0.000292948,0.551016228
-0.000297948,0.560981619
-0.000298131,0.568649329
-0.000296668,0.574488444
-0.000299175,0.579335173
-0.000301116,0.583536174
-0.000302979,0.58780933
-0.000304848,0.59190519
-0.000302733,0.59536878
-0.000298061,0.598313557
-0.000292903,0.600845646
-0.000289287,0.603043164
-0.000283416,0.605188604
-0.00028302,0.607161945
-0.000283728,0.609212364
-0.00028376,0.611342761
-0.000283645,0.613400674
-0.000283867,0.615129379
-0.000284582,0.617315574
-0.000285797,0.619429176
-0.000282651,0.621709516
-0.000281674,0.624129188
-0.000279246,0.626023044
-0.000280773,0.628207926
-0.000277058,0.630168247
-0.000274881,0.63204788
-0.000276717,0.6338855
-0.000272797,0.635493472
-0.000268814,0.637228522
-0.000256639,0.638890597
-0.000257193,0.640478438
-0.000253803,0.642032089
-0.000252086,0.643217582
-0.00025229,0.644647164
-0.000248225,0.646199885
-0.00025104,0.647802825
-0.000248143,0.649089575
-0.000246062,0.650505426
-0.000244397,0.651888455
-0.000243657,0.653320226
-0.000240484,0.654655169
-0.000239699,0.65607775
-0.000237502,0.657280584
-0.000237942,0.658716566
-0.000233803,0.659986686
-0.000228932,0.661240559
-0.000223402,0.661964623
-0.000222485,0.66239498
-0.000218702,0.662813193
-0.000218107,0.663247106
-0.000215891,0.663400605
-0.000215786,0.663398034
-0.000217438,0.66324716
-0.000215313,0.663311711
-0.000212407,0.663127194
-0.000211403,0.663043059
-0.000210632,0.66282758
-0.000210802,0.662811059
-0.000210193,0.662855972
-0.000208751,0.662872328
-0.000208822,0.662817515
-0.000209612,0.662863083
-0.000211614,0.662730808
-0.000211685,0.662456904
-0.000211177,0.662314017
-0.000209961,0.662170474
-0.00020962,0.661983878
-0.000210287,0.661959754
-0.000209369,0.661801385
-0.000209685,0.661706856
-0.000210372,0.661573925
-0.000212065,0.6613957
-0.000213939,0.661481476
-0.000215223,0.661801331
-0.000216185,0.662082729
-0.000217631,0.6624772
-0.000217193,0.662816639
-0.000218514,0.663108759
-0.000219179,0.663321066
-0.000231771,0.663617562
-0.000234423,0.663963893
-0.000235496,0.664327621
-0.000237572,0.664910329
-0.000237602,0.66572345
-0.000237628,0.666520052
-0.000235785,0.667396357
-0.000240709,0.66856604
-0.000246849,0.669685887
-0.000251545,0.67099523
-0.000255373,0.672650138
-0.000258073,0.675049077
-0.000255125,0.678451782
-0.000262514,0.683165087
-0.000263943,0.689515084
-0.000269502,0.69813563
-0.000269559,0.709075247
-0.000275594,0.723106629
-0.000277527,0.740378136
-0.000278833,0.761237849
-0.000286654,0.786011038
-0.000295435,0.815509842
-0.000295017,0.850079004
-0.000297213,0.890447184
-0.000298701,0.936723188
-0.000301723,0.989718223
-0.00030845,1.049669267
-0.000307663,1.117557712
-0.000309693,1.193672395
-0.000315919,1.278137277
-0.00031766,1.371851473
-0.000319282,1.474829754
-0.000320932,1.587687048
-0.000320064,1.710664656
-0.000325932,1.844090255
-0.00032613,1.98854677
-0.000321137,2.143931853
-0.000324095,2.311019565
-0.000321511,2.48975739
-0.000327837,2.680562393
-0.000324958,2.883739111
-0.000325394,3.099398484
-0.00032471,3.328246468
-0.000324511,3.570353359
-0.000322666,3.825388908
-0.00032571,4.094243642
-0.000326123,4.376835342
-0.000323289,4.673341576
-0.000322381,4.983733462
-0.000320618,5.307951153
-0.000318782,5.646781458
-0.000319384,6.000349758
-0.000316942,6.368508517
-0.000314892,6.751506858
-0.000313438,7.149456322
-0.000312545,7.562727365
-0.0003085,7.991310249
-0.00030126,8.435085885
-0.00029322,8.894289882
-0.000285145,9.369251341
-0.000280644,9.860173158
-0.000273729,10.36649768
-0.000277758,10.88803492
-0.000266765,11.42428751
-0.000262941,11.97495616
-0.000255039,12.53991533
-0.000252275,13.11898307
-0.000245676,13.71203788
-0.000237495,14.31918589
-0.000234338,14.93967404
-0.000223479,15.57377432
-0.000211453,16.22084057
-0.00020734,16.88043236
-0.000201557,17.55188952
-0.000198442,18.23505407
-0.000193161,18.92926344
-0.000181643,19.6341743
-0.000178651,20.34990081
-0.000172094,21.07557346
-0.000160903,21.81069481
-0.000158935,22.55505734
-0.000151682,23.30772536
-0.000145159,24.06807248
-0.000140316,24.83638057
-0.000130062,25.61291835
-0.000125777,26.39681471
-0.00012658,27.18777276
-0.000118691,27.98491588
-0.000115731,28.78807229
-0.000100665,29.59754527
-9.76E-05,30.4122553
-8.72E-05,31.23231386
-7.81E-05,32.05785518
-6.92E-05,32.88853306
-5.84E-05,33.72492993
-4.77E-05,34.56607128
-3.36E-05,35.41130248
-2.62E-05,36.26025021
-1.52E-05,37.11326914
-4.84E-06,37.97043392
7.18E-06,38.8308833
2.09E-05,39.69495776
2.98E-05,40.56408891
4.71E-05,41.4374246
5.86E-05,42.31509582
7.24E-05,43.19650267
8.53E-05,44.08203252
9.12E-05,44.971837
0.000101642,45.86547853
0.000106061,46.7624894
0.000115076,47.66211573
0.000125078,48.56507375
0.000133715,49.47056162
0.000139351,50.37879028
0.00015457,51.2895496
0.000158819,52.20216125
0.000170986,53.11720768
0.000180928,54.03368768
0.00019033,54.95180832
0.000203026,55.87178183
0.000216528,56.79308285
0.000231359,57.71498245
0.000246579,58.63800894
0.000265954,59.56230419
0.000285864,60.48825019
0.000301244,61.41586281
0.000310985,62.34498099
0.000324383,63.27508314
0.000333302,64.20662591
0.000343243,65.13992486
0.000358449,66.07445005
0.00036886,67.01158489
0.000381938,67.95168925
0.000392769,68.89305146
0.000405412,69.83532314
0.000419316,70.77875333
0.000428351,71.72346875
0.000442576,72.66983978
0.000456093,73.61768394
0.000465622,74.56691081
0.000484532,75.51748175
0.000496938,76.46981099
0.000514913,77.42279312
0.000537185,78.37656458
0.00055645,79.3301966
0.000578987,80.28481346
0.000589832,81.24113282
0.000602532,82.19973897
0.000612575,83.15985315
0.000623458,84.12139888
0.000630869,85.08483306
0.000642247,86.04986147
0.000649621,87.01505258
0.000652383,87.9801881
0.000661024,88.94526887
0.000664091,89.91162774
0.000671481,90.87794039
0.00068507,91.84431628
0.000692936,92.81096454
0.00071208,93.77864085
0.000727952,94.74707602
0.000743053,95.71526436
0.000768713,96.68431342
0.000797153,97.65405432
0.000817941,98.62390298
0.000847946,99.59484332
0.000866114,100.5659121
0.000887445,101.5377245
0.000899667,102.5096963
0.000913329,103.4824832
0.000925975,104.4549105
0.00092932,105.4288426
0.000940358,106.4032414
0.000939543,107.3777967
0.000945108,108.3528822
0.000949848,109.3276014
0.000961745,110.3020291
0.000974304,111.2763323
0.000989884,112.2501468
0.001009061,113.2234133
0.001028406,114.1964392
0.00105205,115.1683934
0.001072127,116.1385455
0.00109268,117.1089839
0.00111383,118.0796865
0.001131312,119.0494318
0.001157944,120.0193638
0.001175019,120.9876692
0.001188905,121.9556413
0.001204519,122.9230398
0.001214418,123.8896587
0.001226715,124.8548692
0.001230794,125.8193354
0.00123191,126.782874
0.001236143,127.7461522
0.001238791,128.7083288
0.001250036,129.6691178
0.001265314,130.6276808
0.001282779,131.5842769
0.001303246,132.5384949
0.001329999,133.4904248
0.001349193,134.4405575
0.001370767,135.3886854
0.001387932,136.3351484
0.001404925,137.2802988
0.001426141,138.2228084
0.001448356,139.1634732
0.0014728,140.1030282
0.001490044,141.0409394
0.001503387,141.9764913
0.001514795,142.9103895
0.001522506,143.8423179
0.001528398,144.7711801
0.001532015,145.6979124
0.001536414,146.6229954
0.001541399,147.5452701
0.001552593,148.4662199
0.001567461,149.3850867
0.001589484,150.3019917
0.001604705,151.2158338
0.00161549,152.1277405
0.001639268,153.0358702
0.001654093,153.941695
0.001676368,154.8449781
0.00169355,155.7455316
0.00172309,156.6434877
0.001746699,157.5394038
0.001767422,158.4325755
0.001784604,159.3236915
0.00179396,160.2122934
0.001803484,161.0980121
0.001804024,161.981166
0.001810218,162.8620987
0.001818547,163.739786
0.001823074,164.6136269
0.001837365,165.4847206
0.001845944,166.3523946
0.001860609,167.2177249
0.001878596,168.0815656
0.001900591,168.9435549
0.001920914,169.8035968
0.001943207,170.661495
0.00196827,171.5165646
0.001996519,172.3694641
0.002020514,173.2200936
0.002042044,174.0687238
0.002058246,174.9162444
0.002066219,175.7629296
0.002072881,176.6088772
0.002077888,177.4530519
0.002075634,178.2960061
0.002082166,179.1364416
0.002089241,179.9745763
0.002102713,180.8109921
0.002119413,181.6458283
0.002137308,182.4792165
0.002152636,183.3106251
0.002171408,184.1397954
0.002201386,184.9664929
0.002228074,185.7912563
0.002257912,186.6133826
0.002283909,187.4339522
0.002309165,188.2532755
0.002327498,189.0711034
0.002341792,189.8864546
0.002350882,190.7009429
0.002357377,191.5128007
0.00236072,192.3232366
0.002360645,193.1320284
0.002367358,193.9397321
0.002378525,194.7459267
0.00238761,195.5521557
0.00240147,196.356733
0.002419324,197.1603575
0.002439078,197.9625009
0.002457432,198.7636851
0.002480061,199.5630016
0.002502414,200.3613729
0.002529151,201.1577986
0.0025594,201.9521094
0.002583421,202.7454375
0.002608111,203.5369259
0.002623167,204.3263509
0.002634012,205.1143872
0.002644558,205.9011518
0.00264768,206.6866093
0.002649809,207.4701928
0.002650067,208.2522164
0.002656352,209.0314985
0.002656892,209.8076308
0.002666444,210.5820252
0.002677155,211.353817
0.002694147,212.1241963
0.002712949,212.8928564
0.0027335,213.6592015
0.002759108,214.4238715
0.002787705,215.1850965
0.002818412,215.9436286
0.002848214,216.6995657
0.002871143,217.4542634
0.002891067,218.2062384
0.002903068,218.956355
0.002915389,219.7040334
0.002918732,220.4494034
0.002923278,221.1924183
0.002925278,221.9329451
0.002928342,222.6716594
0.002928663,223.4081176
0.00293005,224.1429727
0.002938355,224.8745162
0.002951914,225.6043616
0.002971041,226.3322562
0.002992255,227.0575891
0.003016142,227.780462
0.003043712,228.5024524
0.003073982,229.221891
0.003102709,229.9396354
0.003122411,230.6554272
0.003142002,231.3689526
0.003155808,232.0796853
0.003167741,232.7883587
0.003176031,233.4929319
0.003182445,234.1952557
0.003189716,234.8949013
0.003193787,235.5915495
0.003196615,236.2850719
0.003201973,236.9767107
0.003209568,237.6649593
0.003220993,238.3512555
0.00323397,239.0352286
0.003252554,239.7163702
0.003275087,240.3950902
0.003301199,241.071826
0.003327458,241.7461065
0.003351889,242.416742
0.003376116,243.0847788
0.003394955,243.7500172
0.003409924,244.4132404
0.003421889,245.0737191
0.003431371,245.7323313
0.003438367,246.3884915
0.003445088,247.0434617
0.003451445,247.6954901
0.00345053,248.344097
0.003455639,248.9901343
0.003459599,249.6330037
0.003468369,250.2737818
0.003480949,250.9125213
0.003496839,251.5490064
0.003515274,252.1843839
0.00354008,252.8174173
0.003567643,253.4480502
0.00358736,254.0772345
0.003612455,254.7039777
0.003631059,255.326913
0.003649453,255.9471003
0.003664075,256.5643841
0.003676556,257.1781273
0.003684978,257.7888899
